ID	timepoint	condition
Sample1	48hrs	knockin
Sample2	48hrs	knockin
Sample3	48hrs	knockin
Sample4	48hrs	knockin
Sample5	48hrs	control_a
Sample6	48hrs	control_a
Sample7	48hrs	control_a
Sample8	48hrs	control_a
Sample9	48hrs	control_b
Sample10	48hrs	control_b
Sample11	48hrs	control_b
Sample12	48hrs	control_b
Sample13	96hrs	knockin
Sample14	96hrs	knockin
Sample15	96hrs	knockin
Sample16	96hrs	knockin
Sample17	96hrs	control_a
Sample18	96hrs	control_a
Sample19	96hrs	control_a
Sample20	96hrs	control_b
Sample21	96hrs	control_b
Sample22	96hrs	control_b
Sample23	96hrs	control_b
