UniqueCount	AmbigCount
1	2
0	1
21	173
0	0
0	0
0	0
0	0
0	12
0	10
0	0
0	0
0	0
0	0
0	0
28	47
0	3
2	1
0	7
0	1
0	36
6	1
1	49
0	1
0	6
223	22
0	14
10	124
22	20
0	1
1	1
0	1
27	226
3	74
1	92
1	59
0	54
0	29
173	37
0	2
0	0
0	0
0	0
0	0
0	4
0	0
0	5
27	10
15	12
0	5
0	7
23	0
0	13
0	8
0	25
2	11
0	32
0	16
0	7
0	19
0	16
5	6
0	16
1	17
2	4
1	12
0	93
0	13
0	0
2	4
0	0
21	52
0	1
0	0
0	8
0	3
2	3
14	5
0	1
0	1
0	5
0	2
0	3
0	5
0	5
0	14
0	0
0	0
76	691
4856	21557
88	34832
0	0
4	197
1	3
3677	2132
5	336
0	0
0	0
266	409
0	38
0	1
2	1
3	24
2	15
12	52
0	52
0	0
0	14
45	14
0	8
0	1
0	1
0	1
0	2
5	3
1	1
0	1
0	1
2	2
14	28
0	0
0	0
6	0
0	0
0	0
0	11
1	5
178	58
0	16
3	25
0	30
18	17
1	9
4	87
0	44
1	10
1	25
2	5
20	8
4	7
56	3
9	14
0	2
0	9
0	0
0	0
0	0
2	2
2	2
1	0
0	0
0	0
0	0
0	0
0	3
0	4
0	4
0	3
0	3
0	3
0	4
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
14	1009
439	3370
94	2769
1	0
0	1224
19	20
46	138
6	158
19	28
13	47
22	2
5	36
2	38
1	37
0	0
0	8
0	1
0	1
0	1
34	0
3	18
4	8
7	11
0	1
1	77
0	41
155	76
0	0
0	0
298	2686
3	2689
0	2
0	6
5	142
36	50
0	2
7	23
0	182
164	907
0	18
10	27
1	13
0	27
24	3
7	15
1	9
0	0
0	0
0	76
3	65
0	87
0	88
29	54
2	82
0	75
0	7
1	66
4	35
0	39
1	39
0	11
1	7
1	20
0	11
0	5
0	3
3	1
2	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
86	2656
0	2170
6	2457
41	723
4	496
0	763
0	493
248	0
0	0
0	0
0	0
1	0
0	0
10	0
4	601
0	601
1	657
1	403
6	401
1	401
0	334
9	47
0	264
2	235
0	23
0	64
0	68
1	33
4	40
1	2
0	4
14	6
5	8
20	1
0	0
2	0
0	28
0	24
2	26
0	26
0	1
0	27
0	0
1	7
20	677
50	625
17	394
0	443
27	2
7	59
11	113
8	7
70	153
3	55
44	23
1	15
28	0
0	0
57	135
1	25
1	3
0	49
8	89
0	476
0	918
0	910
0	643
0	474
0	1069
2	133
0	750
0	648
68	555
16	306
3	570
0	916
0	661
0	556
0	799
0	817
0	193
0	78
0	53
0	711
0	70
0	187
0	169
3	80
0	119
0	251
0	10
1	41
2	364
2	177
1	139
0	229
0	186
0	184
0	10
0	4
0	88
2	281
3	223
41	118
0	156
0	71
0	81
2	70
1	74
0	27
0	9
0	4
1	3
0	0
37	0
0	29
108	62
3	33
1	0
7	1004
5	994
0	657
1	166
0	183
6	45
0	40
7	49
0	0
0	263
7	339
0	344
0	163
1	340
1	105
0	69
2	78
0	0
0	0
17	642
96	629
1	625
12	623
4	23
2	14
0	0
73	1092
3	1201
12	653
38	1385
46	2849
1	1635
1	798
9	1978
0	2334
3	619
2	978
1	256
3	191
4	172
4	201
0	622
97	32
3	107
9	7
2	25
12	95
5	351
14	360
0	21
0	18
1	342
16	321
0	106
286	937
1	279
33	608
36	9
26	456
1	114
0	4
139	5
3	246
13	288
0	270
0	74
56	83
3	0
4	0
1	0
0	0
0	3
3	3
3	140
6	533
167	670
3	18
41	20
0	0
17	4
42	828
71	790
9	52
109	505
77	325
1	1
0	1
47	1224
0	1165
0	1172
1	1172
1	5
6	95
5	119
0	1
0	1
0	0
404	940
8	758
0	184
866	27
6	1
0	0
47	0
92	1
1	153
0	166
0	117
0	165
25	166
0	154
0	157
24	25
0	15
0	159
1	3
0	108
0	23
0	1
0	9
0	159
1	124
0	6
0	144
6	130
0	5
9	5
0	126
9	23
2	2
0	1
5	34
0	35
0	38
3	8
0	3
0	3
0	4
0	2
0	4
0	2
0	0
0	0
0	1
0	0
0	0
1	0
46	1376
2	1290
4	1098
0	1203
1	1206
4	972
0	972
1	972
0	286
1	1
3	112
1	1450
0	1452
10	406
7	146
0	0
0	0
0	4
0	711
1	130
0	583
0	662
0	478
0	800
0	656
0	746
0	780
0	688
10	15
1	30
0	21
0	4
1	71
0	7
2	15
7	97
7	58
5	66
1	8
3	4
0	2
38	543
1	1
0	2
1	0
0	0
16	95
7	10
0	84
4	1729
6	1713
5	1563
2	820
2	5
2	310
0	126
0	40
4	286
2	66
0	36
0	220
21	187
4	111
5	103
0	38
1	0
20	9235
0	8251
59	9550
26	1013
2	2234
6	670
31	1342
4	469
0	10
0	60
1	0
0	0
0	0
0	0
0	0
7	157
1	133
0	13
2	33
3	27
0	1
4	4
0	3
0	2
0	0
0	15
0	2
0	0
0	14
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
50	743
0	52
0	2
1	6
0	6
1	5
0	709
0	19
0	682
0	75
0	150
0	82
0	148
2	84
1	163
1	177
0	115
9	53
29	36
2	118
1	12
0	582
0	117
0	472
5	288
0	13
5	4
5	0
1	0
2	44
2	44
3	118
0	130
0	77
90	104
0	24
0	97
1	66
0	86
18	58
3	19
0	142
0	0
1	0
0	0
1870	18
0	1
2	10
3	8
0	28
0	15
1	28
0	0
9	4
0	3
4	11
0	15
25	7
2	7
0	0
0	0
14	0
0	0
1	0
1	858
0	182
18	1532
18	597
2	18
6	988
21	483
116	1008
9	169
101	608
6	656
0	584
8	87
276	34
3	9
3	16
18	18
2	0
0	15
0	14
0	14
0	17
1	12
1	13
0	8
0	0
0	0
26	393
0	325
1	237
2	47
0	10
1	1
5	4
2	21
1	94
3	27
0	0
0	2
0	0
3	0
0	4
0	0
5	4
2	1
9	6
6	2
0	37
1	48
7	48
1	48
0	38
20	155
0	101
0	44
0	50
5	39
17	114
1	135
0	7
1	30
0	0
0	11
2	0
0	0
1	64
0	76
2	536
0	529
0	567
0	536
0	163
0	563
0	121
0	31
0	15
3	37
4	548
1	15
3	502
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
10	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	1
0	2
0	0
0	2
0	2
0	2
0	1
0	0
0	2
0	0
0	3
0	0
1	0
0	1
4	0
85	320
6	320
0	316
0	35
10	41
3	52
32	218
0	0
11	261
20	315
7	30
4	229
1	14
1	21
11	3
0	0
2	0
439	1774
1	1774
58	401
28	420
93	12
7	210
0	56
2	17
0	6
0	147
0	172
10	48
0	46
0	39
0	16
0	39
0	39
0	10
0	10
0	13
0	11
0	43
0	8
0	0
0	15
0	3
13	0
0	0
10	7
2	208
384	397
2	1
1	247
16	243
0	41
0	54
1	24
2	10
0	0
0	11
0	0
0	0
45	28
1	7
2	28
1396	228
6	228
9	20
1	0
2	0
459	873
1	20
4	146
5	148
0	49
0	72
2	575
0	16
3	121
2	29
3	116
0	13
0	331
0	338
4	308
2	324
1	329
5	327
0	321
0	316
0	26
5	6
0	22
8	553
39	628
30	586
3	4
17	7
13	8
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
1	6
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
3	2
0	0
0	0
0	0
0	0
0	0
0	0
4	5
0	0
0	0
0	0
1	0
0	0
0	0
0	0
9	133
7	139
0	382
3	438
10	443
4	322
20	2
0	2
3	10
0	231
1	10
0	24
0	487
0	0
1	132
0	1
4	0
2	527
2	538
0	129
0	128
3	164
0	12
0	481
0	0
0	8
3	429
0	157
0	3
3	38
0	8
0	0
0	8
0	8
0	0
0	1
1	1800
14277	7552
174	7570
4	7349
1	4946
6	4293
3	1818
0	1801
2	0
9	1
0	1
26	121
7	1
12	115
0	1
0	0
0	13
2	8
934	3031
0	18
54	3013
7	815
2	4
0	3
0	0
9	0
3	934
1	849
23	848
0	849
0	764
0	764
0	940
0	940
0	447
0	0
0	0
2	1
0	0
0	0
12	1
0	0
0	0
27	223
0	626
0	0
0	0
0	2
0	1
0	1
1	351
0	619
19	271
0	2
12	594
30	36
7	217
6	269
27	336
3	29
0	0
0	0
0	9
9	16
0	11
0	12
0	10
0	13
0	9
1	10
0	3
0	9
0	5
0	2
0	9
0	3
0	1
0	6
0	6
0	6
0	10
0	0
2	114
0	131
0	131
1	141
1	131
0	131
1	73
0	123
1	124
0	125
0	125
5	102
0	0
1009	181
4	165
3	42
0	5
0	3
0	0
0	0
7	28
3	21
0	9
0	2
10	55
6	54
8	126
0	22
35	56
11	23
0	29
0	9
4	1690
54	1714
0	197
0	99
0	188
0	77
929	53
0	53
47	124
0	0
4	90
15	40
0	39
1	40
19	54
0	6
38	1175
0	614
192	2597
9	1939
2	154
30	649
0	463
0	67
12	470
1	386
3	173
1	5
0	0
0	4
0	0
0	0
1	0
5	0
257	285
8	132
14	73
64	205
1	46
7	111
5	81
2	48
0	14
0	25
0	16
0	24
4	0
0	238
0	176
0	25
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
1	0
3	0
5189	339
87	339
2	37
23	0
5	22
0	210
0	211
0	210
1	207
0	6
2	3
3	2
0	2
0	0
1	1
0	1
0	0
7	11
0	7
0	0
0	2
0	0
0	3002
104	606
227	4663
273	4778
10	2663
15	1349
3	4361
2	3698
0	897
2	1626
0	0
11	0
2	1
4	0
0	49
8287	2392
287	2108
14	1043
31	584
10	6
0	2
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	2346
1	2033
0	23
0	939
2	1005
19	1192
0	23
0	19
0	83
3	3
0	3
1	2
0	66
4	363
0	10
0	11
0	2
1	16
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
12082	56351
115	42438
1	11781
25	6665
62	6238
37	336
2	0
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
3	4
0	0
0	0
